data,cd,grupo,indicador,valor
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,
02/06/2025,RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,
02/06/2025,RS,5. Retorno para Reembarque,Retoro para Reembarque,
02/06/2025,RS,5. Retorno para Reembarque,Exclusão de Romaneio,
02/06/2025,RS,5. Retorno para Reembarque,Total Atrasos,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,
02/06/2025,RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,
02/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,
02/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,
02/06/2025,RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Linhas Faturadas,
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado Bancos,
02/06/2025,RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Backlog 18hrs do D-1,
02/06/2025,RS,8. Pedidos Consolidados,Pedidos Consolidados (sem bancos),
02/06/2025,RS,8. Pedidos Consolidados,Pedidos Consolidados (Só bancos),
02/06/2025,RS,8. Pedidos Consolidados,Total Consolidação,
02/06/2025,RS,8. Pedidos Consolidados,Pedidos Planejados,
02/06/2025,RS,8. Pedidos Consolidados,% Atingimento,
02/06/2025,RS,9. Faturamento,Faturamento Realizado,
02/06/2025,RS,9. Faturamento,% Atingimento,
02/06/2025,RS,6. Abastecimento,Abastecimento Realizado DUN,
02/06/2025,RS,6. Abastecimento,Abastecimento Projetado DUN,
02/06/2025,RS,6. Abastecimento,% Atingimento,
02/06/2025,RS,10. Coletas em Pulmão,Coletas Totais,
02/06/2025,RS,10. Coletas em Pulmão,Coletas em Pulmão,
