cd,grupo,indicador,meta,direcao,ativo,observacao
RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 2 a 5 dias,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 6 a 10 dias,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - 11 a 15 dias,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - acima de 15 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Retoro para Reembarque,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Exclusão de Romaneio,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Total Atrasos,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - até 1 dia,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - 2 a 5 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - 6 a 10 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - 11 a 15 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 15 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - 16 a 20 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - 21 a 30 dias,,Menor ou igual é melhor,Sim,
RS,5. Retorno para Reembarque,Pedidos em Atraso - acima de 30 dias,,Menor ou igual é melhor,Sim,
RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Previstas PCP,,Menor ou igual é melhor,Sim,
RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),Linhas Planejadas PCP,,Menor ou igual é melhor,Sim,
RS,6. Linhas Planejadas PCP (Linha sem quebra na Prod),% Atingimento,,Maior ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Linhas Faturadas,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Capacidade Total CD (DUN + FRAC + Bancos),,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,,Maior ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade FRAC,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade DUN,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade Bancos,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado Bancos,,Menor ou igual é melhor,Sim,
RS,7.Linhas Faturadas/Separadas (Com quebra na Prod),Backlog 18hrs do D-1,,Menor ou igual é melhor,Sim,
RS,8. Pedidos Consolidados,Pedidos Consolidados (sem bancos),,Menor ou igual é melhor,Sim,
RS,8. Pedidos Consolidados,Pedidos Consolidados (Só bancos),,Menor ou igual é melhor,Sim,
RS,8. Pedidos Consolidados,Total Consolidação,,Menor ou igual é melhor,Sim,
RS,8. Pedidos Consolidados,Meta de Consolidação,,Menor ou igual é melhor,Sim,
RS,8. Pedidos Consolidados,Pedidos Planejados,,Menor ou igual é melhor,Sim,
RS,8. Pedidos Consolidados,% Atingimento,,Maior ou igual é melhor,Sim,
RS,9. Faturamento,Faturamento Realizado,,Menor ou igual é melhor,Sim,
RS,9. Faturamento,Faturamento Necessario,,Menor ou igual é melhor,Sim,
RS,9. Faturamento,% Atingimento,,Maior ou igual é melhor,Sim,
RS,6. Abastecimento,Abastecimento Realizado DUN,,Menor ou igual é melhor,Sim,
RS,6. Abastecimento,Abastecimento Projetado DUN,,Menor ou igual é melhor,Sim,
RS,6. Abastecimento,% Atingimento,,Maior ou igual é melhor,Sim,
RS,10. Coletas em Pulmão,Coletas Totais,,Menor ou igual é melhor,Sim,
RS,10. Coletas em Pulmão,Coletas em Pulmão,,Menor ou igual é melhor,Sim,
RS,10. Coletas em Pulmão,% Coletas em Pulmão,,Maior ou igual é melhor,Sim,
RS,11. Rupturas,Total de Rupturas,,Menor ou igual é melhor,Sim,
